Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,4,60,-4,2,3.4800
3,,,6,90,-6,3,3.4700
4,,,16,290,74,4,2.1100
5,,,18,370,69,5,1.8400
6,,,17,470,59,6,1.4600
7,,,19,500,57,7,1.3300
8,,,21,580,52,8,1.0600
9,,,23,660,47,9,0.9700
10,,,25,690,45,10,0.9600
11,,,27,720,43,11,0.9500
12,,,29,750,41,12,0.9400
13,,,31,780,39,13,0.9300
14,,,33,810,37,14,0.9200
15,,,35,840,35,15,0.9100
16,,,37,870,33,16,0.9000
17,,,39,900,31,17,0.8900
18,,,41,930,29,18,0.8800
19,,,43,960,27,19,0.8700
20,,,45,990,25,20,0.8600
